message,strength_position.x,conciliatory_tone.x,argument_count.x,condition,party_parta,att_check_parta,pre_manip_gun_views,persuasiveness,affect,empathy,outgroup_aff,attitude_change,gun_views_change,party_partb,gender,race,pol_id,edu,party_strength,convincing_1,convincing_2,aff_participant_1,aff_participant_2,emp_1,emp_2,att_check_partb,cond,message_id,ID,age_centered,strength_position.y,conciliatory_tone.y,argument_count.y,strength_position,conciliatory_tone,argument_count,persuasion
"democrats should be in favor of less strict guns laws because they may need to purchase a firearm to protect themselves in the future. if they have to wait for days or weeks to buy a gun then their lives could be in danger. if you're in danger, you need protection now! not tomorrow or next week. 

   another reason democrats should be in favor of less strict gun laws is because stricter gun control does not keep guns out of the hands of criminals. criminals will find a way to get a weapon to cause harm. there are way too many illegal gun dealers that criminals can buy a gun from off the street. strict gun laws don't mean less guns. strict gun laws mean less good people are able to buy guns. less good people to defend their homes and families.",3,3,2,Low Utility,Republican,correct,1,13.666666666666666,51,41,1,1,1,Democrat,1,1,2,2,3,20,20,51,51,50,32,correct,0,249,5bf553cc,-5.085551330798481,3,3,2,3,3,2,13.666666666666666
"Stricter gun laws will help to ensure that guns do not get into the wrong hands of someone with the intent to harm others. If I were a gun enthusiast, I would imagine that I wouldn't want the wrong person to easily gain access to a gun, as it would give me and others like me a bad name.",3,3,1,High Utility,Democrat,correct,2,50.666666666666664,86,62,5,2,4.75,Republican,1,1,7,2,3,74,76,91,81,62,62,correct,1,250,a6b04c31,-0.08555133079848076,3,3,1,3,3,1,50.666666666666664
"It may seem as though stricter background checks could infringe on your rights and prevent you from being able to participate in your hobbies or defend your family and property. In fact, if that is all you want to do, and you don't have a violent criminal record, you don't have anything to worry about - these kinds of background checks are aimed at preventing the wrong sorts of people from obtaining guns. People who advocate for stricter gun control simply want to make this process more accurate and more efficient. Nobody wants to prevent you from defending your family - but they do want to reduce the risks, the number of people out there who your family might need defending from.
You might say that that's all very well and good, but if guns are illegal that isn't going to prevent criminals from using them, since they are already breaking the law. And it's possible for a poorly implemented law to lead to that. But there are other options. High fines and increased sentences can deter criminals from using guns. If armed robbery with a gun has a higher sentence than other kinds of robbery - and of course, thievery where the criminal does not try to confront anyone - fewer criminals will use guns, fewer situations will be escalated to the point where shots are fired, and fewer people will die. 
There is an idea that ""one good guy with a gun"" can take down a mass shooter. It's possible, but unlikely. A mass shooter does not need to be trained. All they need is either mobility or a good vantage point and an automatic or semi-automatic weapon. The ""good guy with a gun"", on the other hand, needs to be trained at hitting moving human targets (or snipers, in the case of someone with a vantage point), and needs to be able to distinguish the shooter from anyone innocent in the area, to avoid even more needless injury and death. That's difficult enough when the shooter isn't trying to blend with the crowd, which many do. Officers of the law arriving on the scene will also need to be able to distinguish between multiple armed civilians with guns, but have no real way of knowing at a glance which is the perpetrator and which is a ""good guy"", which interferes with their operations, could lead to more deaths in the meantime, and puts them in greater danger.",3,2,4,High Utility,Democrat,correct,3,0.3333333333333333,20,49.5,1,1,1,Republican,1,1,4,2,1,0,0,21,19,51,48,correct,1,251,e644661b,18.91444866920152,3,3,4,3,2.5,4,0.3333333333333333
"Guns kill people all the time, but the people who use them are allowed to carry so many amounts of them and that needs to be contained right now. My fellow Republicans I know that you like your guns and not wanting others to take that from you. Me as a a fellow Democrat, I don't mind you wanting to own guns or your right in wanting it to be present in your community and way of life. I'm just advising you to realize that there has been so many countless deaths that have resulted from gun possession. From being a parent and owning a gun, has its caution. To openly having one in the street if your state allows it, can also be very dangerous, if things were to have a problem with said person. 

I'm just letting you know that you should see the benefits of stricter gun laws and how beneficial it is for the people around you. No one wants to see people dying from gun related incidences, knowing that could of been prevented if there was some laws in place. This is not going to take away your guns, its more like guidelines to know when to use them and what guns should be permitted to be used. Thanks for hearing me out on this issue.",3,2,3,High Utility,Democrat,correct,2,39,50,42.5,2,1,2.25,Republican,0,1,6,4,3,55,61,50,50,35,50,correct,1,252,a88ae119,-3.0855513307984808,3,3,3,3,2.5,3,39
"As we know there have been many murders and shootings; much too much for the country that we should be. I think stricter gun laws would probably help this a lot. Not anyone will just be able to buy a gun and our families, ourselves and our friends will be safer for it.",3,3,1,High Utility,Democrat,correct,2,21,44,21,3,2,3.5,Republican,1,1,7,2,1,36,25,35,53,24,18,correct,1,253,a8b04cf6,23.91444866920152,3,3,1,3,3,1,21
"The second Amendment protects our right to own guns. Guns are needed for self defense from threats ranging from local criminals to foreign invaders. Also guns are used for hunting all over the United States whether it's a hobby or for food. Gun ownership deters crime rather causes more crime.

Gun control laws infringe upon the right to self defense and deny people a sense of security and also stricter laws do not prevent criminals from obtaining guns or breaking the law",3,1,2,Low Utility,Republican,correct,1,0.3333333333333333,5,0,1,1,1,Democrat,1,1,1,3,3,0,0,10,0,0,0,correct,0,254,f46cdae4,-0.08555133079848076,3,1,4,3,1,3,0.3333333333333333
"At the end of the day, stricter gun laws will help to protect more people. The current gun laws allow for mentally ill people to easily purchase guns which is what led to shootings such as Sandy Hook and the school in Florida. Stronger gun laws would prevent this from happening as often.

Don't mistake me; I'm not for taking away guns that people already own. Most people interested in home defense have something like a pistol or sidearm, which is more than enough to stop an intruder. Stronger gun laws would prevent the sales of assault rifles such as AK-47s and AR-15s, which are what cause the most damage. With them gone, the entire world would be safer. This is what we're all after.",3,3,2,Low Utility,Democrat,correct,2,14.666666666666666,58.5,27,4,1,4,Republican,1,1,6,2,3,23,20,56,61,26,28,correct,0,255,f28f42d3,21.91444866920152,3,3,2,3,3,2,14.666666666666666
"This is not about restricting liberties of Americans. This is about protecting American families from harmful folks with guns. We can modify laws such that more protections are in place, and liberties will be retained. This is a win-win situation for everybody, and is in no way about removing the right to bear arms.",2,4,1,High Utility,Democrat,correct,2,57.666666666666664,76.5,53,3,3,3.75,Republican,0,2,4,2,2,82,88,74,79,45,61,correct,1,256,667ef7b7,1.9144486692015192,2,3,1,2,3.5,1,57.666666666666664
"Many people who purchase guns do so because they want to feel safer. However, the reality is that guns are more likely to take lives than to save them. There is a positive correlation between number of guns in society and number of shooting incidents, in contrast to the common thought that having more guns leads to a safer society. There is evidence that a ""good guy with a gun"" very rarely prevents a bad guy with a gun. For example, the armed security guard involved in the Parkland shooting did not apprehend the shooter. And, there is research to suggest that having a gun in the house actually puts members of the household more at risk, because guns are more often used for suicide (or murder-suicide) than they are for self-defense. In fact, guns are one of the top methods of committing suicide. 

For this reason, it is especially important that people with known mental health issues or violent tendencies should not be allowed to access guns. Strict background checks, as well as laws that allow authorities or family members to legally and temporarily confiscate guns from people who pose a threat to themselves or others, will help to prevent dangerous people from accessing guns. These laws will not prevent law-abiding citizens from having access to guns - only people who pose a threat. However, if fewer dangerous people have access to guns, then there will be a lower need to have a gun for personal safety.",3,2,4,High Utility,Democrat,correct,2,10,40,27.5,2,1,2.5,Republican,0,1,5,4,2,9,20,41,39,25,30,correct,1,257,744388bc,-5.085551330798481,3,3,3,3,2.5,3.5,10
"I understand the desire to loosen the restrictions on guns. Shooting, whether it be at targets, shooting trap, or hunting can be enjoyable. While I've never hunted, I've definitely had a lot of fun target shooting. I grew up in a family that owned guns, attended gun safety classes, and own a gun myself. It would be very difficult for me to give up my gun. It isn't one that I have for protection, in fact, I don't even keep ammunition at home; however, I enjoy shooting it and wouldn't want to give that up. I do believe I would be willing to give up my gun if I knew that by doing so, I would prevent gun deaths. Unfortunately, I don't believe that is the magic solution many people believe it to be.

With that said, I do believe there are more reasonable solutions that will help keep guns out of the hands of those who will do the most harm. Taking steps to limit access to guns by those who have clear mental issues or those who have ever made a threat to use guns maliciously would be a good first step. While it may be extreme, I feel that anyone who has threatened to kill another human being should lose their ability to own guns permanently. I also think it is important that we lengthen the time between when someone attempts to purchase a gun and when that gun can be sold to them in order to make sure that adequate measures can be taken to perform a background check.

My answers may not be the right answers, but when we look at gun violence in America, I think it's important that we start looking at solutions. I would happily hear any proposed solutions to limit access to guns by those who may use them to harm innocents that you have, which you feel would have less of a negative impact on those who use guns responsibly.",2,4,4,High Utility,Democrat,correct,2,57.333333333333336,71,60,3,2,3,Republican,1,1,6,3,3,85,85,71,71,50,70,correct,1,258,dcf0eb22,2.9144486692015192,2,4,4,2,4,4,57.333333333333336
"With racial tensions rising all across the world, we must adopt strict gun control laws to protect the future of our nation.  If we allow the laws to exist as they do today, we're effectively putting guns into the hands of all the groups who are trying to tear this great nation apart.  I believe stricter gun laws would make it more difficult for these groups to further gain political momentum, and curb the threat they pose to our safety.  Let's make it more difficult for them to legally obtain weapons, and imprison those who illegally possess such weapons.

Stricter gun laws would put more criminals behind bars.  New laws should enable law enforcement agencies to do a better job of cleaning up the streets and protecting public safety.",3,2,2,Low Utility,Democrat,correct,2,9,5.5,16.5,1,1,1.5,Republican,1,1,5,4,2,10,16,11,0,24,9,correct,0,259,6b4e570f,-15.08555133079848,3,3,3,3,2.5,2.5,9
"Gun laws should be stricter because the original premise of gun laws as applied today with modern weaponry is absurd. The idea that individuals with no experience or training in warfare can organize and rise up against modern governments who have howitzers and tanks and drones. 

Likewise guns, specifically automatic weapons with a high rate off fire are pointless for personal protection and lethal in the hands of a psychopath. With numerous school shootings, mass shootings, and general rage killings. A significant loss of life could of prevented if these kinds of weapons are difficult or impossible to obtain.

Having guns in the home also causes significant death in the people who own them. Especially  children who aren't taught safety or are taught to glamorize gun violence.

These are the major reasons why gun laws should be stricter",3,2,4,Low Utility,Democrat,correct,2,58.333333333333336,97.5,0.5,7,4,6.25,Republican,0,1,6,3,3,79,92,100,95,0,1,correct,0,260,978f3d6b,-11.08555133079848,3,2,4,3,2,4,58.333333333333336
"Stricter gun laws should be in place so as to simply prevent more gun deaths. Instance of guns used as self-defense are much less common compared to instances of murderous shootings. Stricter gun laws would allow still allow people with clear background checks to own guns. It's too easy to own a gun currently, contributing to more people owning guns who in reality shouldn't be qualified for one. 

Certain guns/magazines that are commonly used for mass murder should also be banned. There's no reason why someone should have or be using these higher power guns. It can also be tempting to use guns when in fact a situation does not call for it. Even highly trained professionals such as the police struggle with this, let alone the average Joe. If two people are in a quarrel over road rage for instance, one of them may be tempted to make use of their gun in a fit of anger. Ultimately there are more cons of guns than pros.",3,2,3,High Utility,Democrat,correct,2,36.333333333333336,53,26.5,2,1,2,Republican,1,1,7,3,3,54,54,54,52,51,2,correct,1,261,29aa3817,-2.0855513307984808,3,3,3,3,2.5,3,36.333333333333336
"The 2nd Amendment gives us the right to bear arms.  I'm completely okay with that, and I believe that everyone who should want to own a gun should.  However, I think there should be some stricter guidelines because the 2nd Amendment does not say people need to own automatic assault rifles as a form of protection.  Yes, you will argue with me on this, but I ask you to listen to my thoughts before making up your minds.

There should be stricter gun laws such as closing gun show loopholes and really enforcing universal background checks.  I'm sure you will not like that and will question, who's going to pay for that, etc.  I believe that if someone can apply for a driver's license, job, or similar, the same standard should be applied to gun ownership.  There should be an automatic program set up or a universal database allowed for gun shops to be able to quickly run these checks.  As for gun shows, the individuals there should be held to a stricter standard.  If they are caught violating and illegally selling guns, stiff penalties should be imposed to deter said behavior.  Of course, this is all contingent on Congress passing stricter gun laws.

My final thought, think of the families that have been ripped apart due to gun violence.  Yes, it may not personally impact you, but what if it did?  Would you change your mind if your son, daughter, father, mother, or another family was senselessly taken from you in an act of gun violence?  I suspect it may change minds, but it won't change minds until it directly impacts the person who can sway legislation.  We have too much gun violence in the form of mass shootings and other isolate events, and these things needs to be curtailed to save lives as opposed to continuing to lose them.",3,3,3,High Utility,Democrat,correct,2,43,42.5,31.5,4,2,4.25,Republican,1,1,4,3,2,68,59,34,51,50,13,correct,1,262,1beb6363,-5.085551330798481,3,4,3,3,3.5,3,43
"Recently we have seen a lot of protest and rioting it America, this in itself shows the importance of being able to obtain and have guns. We are watching rioters and protesters tear America apart, they are ruining local businesses and harming innocent civilians. How many innocent lives have been taken because of these so called ""peaceful protest?"" Homes are being broken into cars are being broken into. We need to be able to defend ourselves as well as our families from those that want to harm us. 
The fact of the matter is it doesn't matter how strict of gun laws we make in America, criminals will always be able to obtain them illegally, they don't follow laws as is what makes you think they will comply to strict gun laws? By making stricter gun laws it's taking away the ability of Americans to defend themselves if needed. Gun laws vary by state, some are stricter than others, I find it interesting that we are seeing all this looting, vandalism, violent protesting in areas that have some of the strictest gun laws.
As a young woman with children I find it especially important to be able to protect myself as well as my children if need be. The best example I can give about why we need less strict gun laws is a situation that actually just happened a week ago in the city I live in. I woman went to a local restaurant with her husband and two young children. The husband went inside to grab the food while the woman and her two children waited in the car. Not long after the husband left the woman stated that two younger looking men approached her car, one on the driver side door and the other on the passenger side door. They proceeded to pull on the door handles to get into her car, luckily for her not only were her car doors locked but she was a gun owner in the state I live in it is perfectly legal to have a gun in the car with no permit  She pulled her gun and as soon as the young men saw it they quickly fled. Ask yourself what would have been the outcome of this situation if this particular woman didn't have a gun because of harsher gun laws?
",2,4,2,High Utility,Republican,correct,1,18.666666666666668,49,28,2,1,2,Democrat,0,1,1,1,3,28,27,50,48,7,49,correct,1,263,497f23b9,2.9144486692015192,1,4,2,1.5,4,2,18.666666666666668
"I understand your wanting to have a gun to protect yourself, or go hunting. But I also feel that guns are still too widely available and easy to get. You can still have a rifle or shotgun at home to protect yourself and your family, or a hunting rifle for sport hunting. However, I feel there is no need to have a handgun for self-protection. I feel the only purpose for a handgun is that it is easily concealed, and it designed to shoot another person. You would never use a handgun to go hunting. Also, high-powered, semi-automatic rifles should only be used by the military, not for the general public. Once again, you do not need these types of guns to hunt or protect your house. Finally, any type of gun should be very hard to acquire if you have any history of mental illness. Over half the gun deaths in the U.S. are suicides, so making it very difficult of impossible for people with mental health problems to get a gun would save many lives.",3,2,3,Low Utility,Democrat,correct,2,34,100,100,3,2,2.75,Republican,1,3,5,2,3,50,50,100,100,100,100,correct,0,264,035b1009,-2.0855513307984808,3,2,3,3,2,3,34
"Guns are tools for our defense. The sight of a gun has saved lives over and over again. The debates against possession by the public has always been that of the fun being in the wrong hands. As convincing as this point is, i choose to disagree with this on the ground that a lot of items that are seemingly domestic have from time to time taken the lives of other persons when used wrongly by others. If a crazy fellow is behind the wheels of a car, it most often ends in a total disaster with lots of innocent lives lost or badly injured. same can be said for other domestic items, e;g a kitchen knife. If the laws on guns is made more severe, that means lesser persons will be able to carry guns, but the bad guys will still be able to easily source theirs as has always been the case. I see it a fair course for us all to be able to have our guns easily and protect ourselves better.",3,1,3,High Utility,Republican,correct,1,34.333333333333336,49.5,36,3,2,3,Democrat,0,1,4,3,2,51,50,44,55,41,31,correct,1,265,10118399,-17.08555133079848,3,3,3,3,2,3,34.333333333333336
"We should absolutely have stricter gun laws in America. School shootings are an American problem, and this problem needs to be dealt with. Other developed countries also experience domestic terrorism, however these attacks are more commonly stabbings or cases where someone is run over by a vehicle. While all of the above incidents are tragic and horrific events, school shootings result in a much higher number of casualties, and these events target our youth; future Americans with hopes and dreams are having their lives cut tragically short by gun violence.

It's because of tragic incidents like these that I fully support stricter gun laws in America. This problem is not going away, but is instead ramping up, and people are starting to become numb to it. I think we need to look more at an individual's psychological state when they want to purchase a firearm. There are also less restrictions on buying guns at gun shows specifically, and this needs to change. People that are mentally unwell are able to easily purchase a gun as our laws stand now. There's no reason why responsible gun owners should disagree with more rigorous background checks for someone buying a gun, as responsible owners are not the problem at all. It's unstable people that are flying under the radar and causing all of this pain for our country. We can do better as a nation to avoid tragedies like these in the future. 

",3,3,2,Low Utility,Democrat,correct,2,51.333333333333336,40,71,1,1,1.5,Republican,0,1,6,2,2,70,83,43,37,61,81,correct,0,266,c667d221,19.91444866920152,3,4,2,3,3.5,2,51.333333333333336
"Stricter gun laws help the country when you look at it from a bigger bigger. I am empathetic toward your view point of not making stricter gun laws because I do believe it is your right to bear arms. However, we have to put our differences aside and look at the loss of human life due to gun violence. Whether it is gang related or due to schools shootings, it is quite obvious that people have easy access to purchase guns. Stricter gun laws would therefore save lives. It would require sacrifice on the republican side but it would be a noble sacrifice and one that would save the lives of countless Americans.",3,3,2,High Utility,Democrat,correct,2,67.66666666666667,81,41,6,3,6,Republican,0,2,6,3,3,100,100,100,62,78,4,correct,1,267,e893d387,-7.085551330798481,3,3,2,3,3,2,67.66666666666667
"Enforcing stricter gun laws does not mean you will have to give up your guns, or that your second amendment rights are infringed on. People would still have the right to own guns. Instead, you may have to go through a slightly more rigorous process to obtain firearms. It is normal for drivers to have to pass a driving test in order to get their license; these systems are set in place to ensure that the person operating the vehicle will not put themselves or others in harms way. Instituting slightly stricter gun laws, such as background checks, would help to ensure that guns only make it into the hands of those who can be trusted to own or use them.",2,4,2,High Utility,Democrat,correct,2,57.333333333333336,89.5,84,4,4,4.25,Republican,1,1,5,4,3,78,90,86,93,91,77,correct,1,269,89c83eeb,-12.08555133079848,2,4,3,2,4,2.5,57.333333333333336
"Everyone has a right under the 2nd amendment to keep and bear arms. And if the country continues to embrace radical ideology like de-funding the police departments and not holding rioters and looters accountable your sense of personal safety is going out the door. So if Democrats continue down this path the public with have to protect itself.

Once people start calling 911 for help and don't get an answer or no one shows up people will have no choice but to resort to old forms of home and personal security.",2,1,2,High Utility,Republican,correct,1,9.666666666666666,25,12.5,2,1,1.5,Democrat,1,1,3,2,2,15,13,25,25,14,11,correct,1,270,20bcac4e,-9.08555133079848,1,2,2,1.5,1.5,2,9.666666666666666
"The gun are are way too strict now. States have now been defining a gun as ammunition. then they try to restrict ammunition to a background check. By making more strict gun laws, it forces people who were previously within the law to be outside the law. it also fosters a discontent that causes more people to disobey, and outright reject gun laws. Thus make the guns an underground commerce and a ""trafficking"" in guns.
    The founders of the constitution remind us that it is the duty of the citizen to rise up against a corrupt government and replace it. That is why the founders created the second amendment.  There is also a disparity in the scientific data involving guns that they seek to ban or restrict. AR-15 style rifles deemed ""assault rifles"" are responsible for less than 5 % of the shootings involving guns. yet they use these rifles as the scapegoat for banning them. Also included in the statistics of victims of guns are those who take their own life with a gun. These are not victims and should not be included in the statistics. Gun ownership is a right not a privilege, guaranteed by the Constitution. There should not be restricts placed on the RIGHT.",3,1,3,High Utility,Republican,correct,1,27.666666666666668,55,30,3,2,1.75,Democrat,0,1,2,3,3,41,40,54,56,40,20,correct,1,271,c51f2187,-13.08555133079848,3,3,3,3,2,3,27.666666666666668
"I would say that the gun laws we have in place now are too generalized and too broad. It gives too much leeway for criminals , killers, and hate group people to be able to purchase a gun or guns at gun shows all over the world, as well as gun shops in various cities. Too liberal of rules account for illegals to purchase guns. The main reason they can , is for the shops and retailers to make more and more money. they don't care who buys the guns etc. as long as they are making lots of money. Bad business model that will catch up to them",3,2,2,Low Utility,Democrat,correct,2,47.333333333333336,72.5,25,3,2,2.75,Republican,0,1,7,2,3,75,65,70,75,30,20,correct,0,272,1f5e9bc3,15.91444866920152,3,2,2,3,2,2,47.333333333333336
"Stricter gun laws will save lives. People who support stricter gun lives support saving lives in all contexts. Guns kill people and harm families. Guns kill innocent lives that otherwise wouldn't need to be taken.
Stricter gun laws will enforce fairness and otherwise protect innocent lives from non-essential loss of life. If you do not support stricter gun laws, you must be in favor of letting others die unnecessarily due to negligence.",3,3,2,Low Utility,Democrat,correct,3,5.333333333333333,7.5,0,1,1,1.25,Republican,0,1,7,3,3,15,0,10,5,0,0,correct,0,273,ddbe13b8,1.9144486692015192,3,3,2,3,3,2,5.333333333333333
"The age-old pro-gun advertisements used to say ""Guns don't kill people, people kill people."" If that's the case, then lets put stricter gun laws on people, not guns. You cannot argue that there are issues with gun violence in this country. Look at the Aurora shooting, Columbine, Las Vegas, El Paso, Newport, and so many cities that have had mass shootings. These bad people had access to automatic firearms when they truly should not have.

You'll probably think: ""It's a mental health issue, not a gun issue."" Well, you've almost got the point then. If it's a mental health issue, then we need to put more restrictions on the buying and selling of guns to ensure they don't get into the wrong hands. If it's a gun issue, then we also need to put more restrictions on the buying and selling of guns to ensure they don't get into the wrong hands. It's two sides of the same coin.

Finally, let's look at the second amendment: the right to bear arms against a tyrannical government. I agree with it sure, but that's if you got a one-shot musket, like when the law was made. For assault weapons like AR-15, do you truly think our Founding Fathers would have made the same law? Probably not. Also, let's be real, the supposed tyrannical government you are fighting has Blackhawk helicopters, so you're not going to do much. Times change, laws change, and it's time for stricter gun laws. Hopefully, they get passed before your child is the next mass shooting victim.",3,2,3,Low Utility,Democrat,correct,3,47,62,70.5,5,4,3.25,Republican,0,1,6,4,3,74,63,61,63,72,69,correct,0,274,7c0c8599,7.914448669201519,3,3,3,3,2.5,3,47
"The right to bear arms shall not be infringed. Guns are necessary to preserve liberty. A gun allows anyone to protect their life and property, even if they are physically weaker.

There was no problem with guns until recently. The problem is cultural conflict and mental illness, both of which are things that will not disappear just by removing guns. The underlying problems within society need to be solved.",3,1,1,Low Utility,Republican,correct,1,47.666666666666664,56.5,54,2,1,1.25,Democrat,1,2,4,2,2,73,69,62,51,53,55,correct,0,275,59038390,-9.08555133079848,2,2,2,2.5,1.5,1.5,47.666666666666664
"The US is alone in the world when it comes to the very loose restrictions on gun ownership. Look at the violence and murder rates associated with guns in other countries. The US appears barbaric compared to the other industrialized countries of the world.
It appears we are not even prepared to do the minimum of keeping guns out of the hands of the mentally ill. Anyone who wants a gun can get a gun. The sale of the military style AR-15 is ludicrous. What is the purpose of this gun? Are you going to go deer hunting with an AR-15?
Infants, toddlers and children are being caught in the crossfire of gun violence.",3,2,1,Low Utility,Democrat,correct,2,6.666666666666667,19.5,20.5,2,1,2.5,Republican,1,1,5,2,2,10,9,30,9,22,19,correct,0,276,4ce892d8,17.91444866920152,3,2,2,3,2,1.5,6.666666666666667
Gun violence is at an all time high.  Schools are being effected by this yearly.  It is happening so much we have become numb to it.  Please place more restrictions on gun purchases.  It will go a long way to protecting our children and make them feel safer.,3,3,1,High Utility,Democrat,correct,2,27.333333333333332,75.5,50,5,2,5,Republican,1,1,6,2,3,40,40,81,70,50,50,correct,1,277,a4487974,-7.085551330798481,2,3,1,2.5,3,1,27.333333333333332
"Republicans should be more in favor of stricter gun laws because guns are just dangerous, especially to children. Children can get ahold of them and hurt themselves. I have heard of other people who find someone else's gun and shoot themselves. Guns are intended to kill and cause a lot of harm. They should only be available to military personnel. It is very easy for people to use and abuse them in any matter they wish. The dangers of guns far outweigh the benefits. Therefore, guns should ultimately be outlawed.",3,3,3,Low Utility,Democrat,correct,3,0.3333333333333333,0,0,1,1,1,Republican,0,1,6,1,3,0,0,0,0,0,0,correct,0,278,228778ab,-6.085551330798481,3,3,3,3,3,3,0.3333333333333333
"Many people view the issue of gun laws as a matter of civil liberties. I think of it more of a safety issue. The amount of people that die each year from firearm accidents is far too high. I think that guns often contribute to violence. I fear for the safety of our children.

I think that overall far too many people die from guns. This is a big problem in the US. We need to encourage violence less. We also need to encourage gun classes and more safety training.",3,3,2,High Utility,Democrat,correct,2,7,37.5,34,1,1,1,Republican,1,1,6,2,3,10,10,35,40,31,37,correct,1,279,644c3bb3,-3.0855513307984808,3,3,2,3,3,2,7
"There is absolute certainty that there would be less people killed if there were stricter gun laws.

There is no reason for most people to have guns in their home. In many case where people have guns for personal protection there are actually more injuries to the person or family. 

If it was more difficult to get guns the cases where people get a gun out of a short term emotion would be less.

Even in cases with police who have been trained to use guns there have been unjustified killing. Imagine how often this must occur with people who are not trained as policement.

Why do we need to have free access to guns? What is the reasoning? Are people afraid that the government will do something to them. Think about the groups that have formed and isolated themselves. There are usually other criminal activity that the govenment is forced to send people to stop. Now they are facing groups with tons of guns at their disposal.",3,2,3,Low Utility,Democrat,correct,3,0.3333333333333333,31,1,1,1,1,Republican,0,1,6,2,2,0,0,40,22,1,1,correct,0,280,2aabc74d,13.91444866920152,3,3,4,3,2.5,3.5,0.3333333333333333
"I can definitely see the argument that Democrats make in wanting stricter gun laws. It looks as if it's so easy for people to obtain a gun now a days, with all the mass shootings in schools and on the streets around the states. However, I believe there should be less strict gun laws because I do believe people have the right to arm and defend themselves. If the only people who have guns, in this country, are criminals then that leaves the rest of society without any protection. It's in the constitution that we have a right to own a gun to defend ourselves. Furthermore, I believe that even if we were to make gun laws more restrictive, the criminals out there, who do most of the deadly shootings, are still going to be able to obtain a gun, no matter how strict gun laws are. So, these criminals will still be able to get their guns, illegally, while the citizens are unarmed.
Guns don't kill people, people kill people. If we have stricter gun laws, then criminals will find other ways to do their killing, whether it be knives or explosives. Just because there are stricter gun laws, doesn't mean there will be fewer person to person deaths, it doesn't even mean there will be fewer gun deaths. Restricting guns will just make it harder for the average citizen to defend themselves and their homes. Especially now, with all the riots going on, people have a right to defend themselves, families and their properties.",3,2,5,High Utility,Republican,correct,1,59,80,50,3,2,3,Democrat,1,2,4,1,2,85,90,80,80,55,45,correct,1,281,5a9006f0,-13.08555133079848,3,2,5,3,2,5,59
"I have known several people who were injured or killed by gun shots. One gunman was mentally unstable, yet he was able to go to a local gun show and purchase the gun without having his background checked. In my town, a great deal of people were killed and maimed by a man who purchased semi-automatic rifles and then fired them into a crowd for no apparent reason. Lives are changed. People die. I don't know why anyone with a heart or conscience would object to background checks or making semi-automatic rifles illegal. No one is taking away your gun rights...they're just trying to make our world safer for all.",2,3,2,Low Utility,Democrat,correct,3,49.333333333333336,55.5,45.5,3,2,3,Republican,0,1,5,3,2,73,73,57,54,40,51,correct,0,282,9ee1e916,0.9144486692015192,1,3,2,1.5,3,2,49.333333333333336
"We need stricter guns laws. No one wants to take your guns away. The left only wants more thorough background checks and waiting periods. People with mental illness should not be able to just go buy a gun in the heat of the moment.

                            If we as a country used safer protocols for all potential gun owners it would make those who insist on owning a gun know that they will not get taken away frivilously. Unstable people do not need firearms.",3,2,3,High Utility,Democrat,correct,2,14,44,43.5,1,1,1,Republican,0,1,6,3,2,19,22,50,38,42,45,correct,1,283,11027130,29.91444866920152,3,3,2,3,2.5,2.5,14
"In the past a lot of murders and mass shootings have happened because the gun laws were not strict enough. I am not against it  that responsible citizens have permits and can purchase guns. I support the second amendment. I am against the ease how they can purchase guns.
There should be a stricter background check so that guns can not get in hands of mentally unstable persons.
I believe that there is still a lot to do to ensure that this will not happen that easy as it is today.
",2,2,2,Low Utility,Democrat,correct,2,35,75,85.5,5,3,4.75,Republican,0,1,5,4,1,51,51,75,75,71,100,correct,0,284,ab4fd226,-2.0855513307984808,2,2,2,2,2,2,35
"In our country we do have the right to bear arms.  However, in the past and even the present we have seen that this right can be abused and put others in danger.  The gun laws should be stricter in order to stop this pointless violence.  Research does show that the stricter the gun laws are the smaller the violence is.
I believe that the background checks that are done when you get a firearm should be changed to reflect criminal history, mental illness, and any potential threat.  If you have been convicted of a violent crime or even if you are on probation you should absolutely fail that background check and not be able to purchase a firearm.  You should have to take gun safety courses before a store will even consider selling you a gun.  That way you would already possess the knowledge on how to handle it properly.  The gun safety courses should be expensive and the instructor should be able to flag you if they notice any signs that are disturbing and could potentially cause harm to another person.",3,2,3,High Utility,Democrat,correct,2,54.333333333333336,87.5,60,5,2,5.5,Republican,1,1,6,3,3,71,90,95,80,70,50,correct,1,285,fd994b46,6.914448669201519,3,3,3,3,2.5,3,54.333333333333336
"Everyone agrees that we don't want to lose our second ammendment, the right to bear arms. Those calling for stricter gun laws, myself included, have body guards that have firearms that I feel safe with them around. The right to bear arms to protect ourselves should be untouched.

Those who are calling for stricter gun laws only want the weapons out of the hands of people who have mental health issues. Those who have obtained them illegally. Those who have criminal justice records. Those who are deemed a threat or potential threat by peers.",3,2,2,High Utility,Democrat,correct,3,27.333333333333332,51,50,2,2,2,Republican,1,1,7,2,3,40,40,51,51,50,50,correct,1,286,3ea0a5d8,-3.0855513307984808,3,2,2,3,2,2,27.333333333333332
